dcode,dname,area,dev_reg,eco_belt,yearcode,crop_name,amillet,pmillet,ymillet
17,Dhanusa,1180,central,terai,2006/2007,Millet,410,414,1010
17,Dhanusa,1180,central,terai,2007/2008,Millet,400,400,1000
17,Dhanusa,1180,central,terai,2008/2009,Millet,400,450,1125
17,Dhanusa,1180,central,terai,2009/2010,Millet,425,430,1012
17,Dhanusa,1180,central,terai,2010/2011,Millet,425,425,1000
17,Dhanusa,1180,central,terai,2011/2012,Millet,300,300,1000
17,Dhanusa,1180,central,terai,2012/2013,Millet,300,300,1000
17,Dhanusa,1180,central,terai,2013/2014,Millet,300,300,1000
17,Dhanusa,1180,central,terai,2014/2015,Millet,300,300,1000
18,Mahottari,1002,central,terai,2000/2001,Millet,220,220,1000
18,Mahottari,1002,central,terai,2001/2002,Millet,500,500,1000
18,Mahottari,1002,central,terai,2002/2003,Millet,500,500,1000
18,Mahottari,1002,central,terai,2003/2004,Millet,500,500,1000
18,Mahottari,1002,central,terai,2004/2005,Millet,401,460,1147
18,Mahottari,1002,central,terai,2005/2006,Millet,320,320,1000
18,Mahottari,1002,central,terai,2006/2007,Millet,335,383,1143
18,Mahottari,1002,central,terai,2007/2008,Millet,335,383,1143
18,Mahottari,1002,central,terai,2008/2009,Millet,355,426,1200
18,Mahottari,1002,central,terai,2009/2010,Millet,355,426,1200
18,Mahottari,1002,central,terai,2010/2011,Millet,232,232,1000
18,Mahottari,1002,central,terai,2011/2012,Millet,215,215,1000
18,Mahottari,1002,central,terai,2012/2013,Millet,,,
18,Mahottari,1002,central,terai,2013/2014,Millet,,,
18,Mahottari,1002,central,terai,2014/2015,Millet,,,
19,Sarlahi,1259,central,terai,2000/2001,Millet,560,620,1107
19,Sarlahi,1259,central,terai,2001/2002,Millet,500,600,1200
19,Sarlahi,1259,central,terai,2002/2003,Millet,500,600,1200
19,Sarlahi,1259,central,terai,2003/2004,Millet,500,600,1200
19,Sarlahi,1259,central,terai,2004/2005,Millet,1580,1500,949
19,Sarlahi,1259,central,terai,2005/2006,Millet,1580,1500,949
19,Sarlahi,1259,central,terai,2006/2007,Millet,1500,1500,1000
19,Sarlahi,1259,central,terai,2007/2008,Millet,120,120,1000
19,Sarlahi,1259,central,terai,2008/2009,Millet,120,120,1000
19,Sarlahi,1259,central,terai,2009/2010,Millet,175,175,1000
19,Sarlahi,1259,central,terai,2010/2011,Millet,215,215,1000
19,Sarlahi,1259,central,terai,2011/2012,Millet,1000,1000,1000
19,Sarlahi,1259,central,terai,2012/2013,Millet,950,950,1000
19,Sarlahi,1259,central,terai,2013/2014,Millet,950,950,1000
19,Sarlahi,1259,central,terai,2014/2015,Millet,950,817,860
20,Sindhuli,2491,central,hill,2000/2001,Millet,10723,12651,1180
20,Sindhuli,2491,central,hill,2001/2002,Millet,10880,10880,1000
20,Sindhuli,2491,central,hill,2002/2003,Millet,10880,10880,1000
20,Sindhuli,2491,central,hill,2003/2004,Millet,10880,10880,1000
20,Sindhuli,2491,central,hill,2004/2005,Millet,9045,9654,1067
20,Sindhuli,2491,central,hill,2005/2006,Millet,9910,9819,991
20,Sindhuli,2491,central,hill,2006/2007,Millet,10775,11153,1035
20,Sindhuli,2491,central,hill,2007/2008,Millet,10775,11153,1035
20,Sindhuli,2491,central,hill,2008/2009,Millet,10775,11153,1035
20,Sindhuli,2491,central,hill,2009/2010,Millet,10775,10600,984
20,Sindhuli,2491,central,hill,2010/2011,Millet,10551,10560,1001
20,Sindhuli,2491,central,hill,2011/2012,Millet,11610,10449,900
20,Sindhuli,2491,central,hill,2012/2013,Millet,11635,9196,790
20,Sindhuli,2491,central,hill,2013/2014,Millet,11618,9526,820
20,Sindhuli,2491,central,hill,2014/2015,Millet,11800,9350,792
21,Ramechhap,1546,central,hill,2000/2001,Millet,5052,5562,1101
21,Ramechhap,1546,central,hill,2001/2002,Millet,5002,5000,1000
21,Ramechhap,1546,central,hill,2002/2003,Millet,5050,6110,1210
21,Ramechhap,1546,central,hill,2003/2004,Millet,5050,6110,1210
21,Ramechhap,1546,central,hill,2004/2005,Millet,5052,5961,1180
